SG=161.71
 name=R3c'
 nsym=6
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0  1
  0 -1 0 1 -1 0 0 0 1    0 0 0  1
  -1 1 0 -1 0 0 0 0 1    0 0 0  1
0 -1 0 -1 0 0 0 0 1    0 0 0.5 -1
 -1 1 0 0 1 0 0 0 1    0 0 0.5 -1
 1 0 0 1 -1 0 0 0 1    0 0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3
GM1  1    1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 1.00000 0.00000 0.66667 -0.66667
GM3  1    1.00000 1.00000 1.00000 0.00000 -0.66667 0.66667



 kpoint  F : 0.000000 0.500000 1.000000  : 1
F1  1    1.00000



 kpoint  L : -0.500000 0.500000 0.500000  : 1
L1L1  2    2.00000



 kpoint  T : 0.000000 0.000000 1.500000  : 1 2 3
T1T1  2    2.00000 2.00000 2.00000
T2T2  2    2.00000 2.00000 2.00000 0.00000 0.66667 -0.66667
T3T3  2    2.00000 2.00000 2.00000 0.00000 -0.66667 0.66667
