SG=83.45
 name=P4'/m
 nsym=8
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0  1
 -1 0 0 0 -1 0 0 0 1    0 0 0  1
-1 0 0 0 -1 0 0 0 -1    0 0 0  1
  1 0 0 0 1 0 0 0 -1    0 0 0  1
  0 -1 0 1 0 0 0 0 1    0 0 0 -1
  0 1 0 -1 0 0 0 0 1    0 0 0 -1
 0 1 0 -1 0 0 0 0 -1    0 0 0 -1
 0 -1 0 1 0 0 0 0 -1    0 0 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1+  1    1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 -1.00000 -1.00000
GM2+GM2+  2    2.00000 -2.00000 2.00000 -2.00000
GM2-GM2-  2    2.00000 -2.00000 -2.00000 2.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
(A)E1+  1    1.00000 1.00000 1.00000 1.00000
(A)E1-  1    1.00000 1.00000 -1.00000 -1.00000
(A)E2+E2+  2    2.00000 -2.00000 2.00000 -2.00000
(A)E2-E2-  2    2.00000 -2.00000 -2.00000 2.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
(M)A1+  1    1.00000 1.00000 1.00000 1.00000
(M)A1-  1    1.00000 1.00000 -1.00000 -1.00000
(M)A2+A2+  2    2.00000 -2.00000 2.00000 -2.00000
(M)A2-A2-  2    2.00000 -2.00000 -2.00000 2.00000



 kpoint  R : 0.000000 0.500000 -0.500000  : 1 2 3 4
(R)D1+  1    1.00000 1.00000 1.00000 1.00000
(R)D1-  1    1.00000 1.00000 -1.00000 -1.00000
(R)D2+  1    1.00000 -1.00000 1.00000 -1.00000
(R)D2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  RA : 0.500000 0.000000 0.500000  : 1 2 3 4
(RA)C1+  1    1.00000 1.00000 1.00000 1.00000
(RA)C1-  1    1.00000 1.00000 -1.00000 -1.00000
(RA)C2+  1    1.00000 -1.00000 1.00000 -1.00000
(RA)C2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 3 4
(X)B1+  1    1.00000 1.00000 1.00000 1.00000
(X)B1-  1    1.00000 1.00000 -1.00000 -1.00000
(X)B2+  1    1.00000 -1.00000 1.00000 -1.00000
(X)B2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  XA : 0.500000 0.000000 0.000000  : 1 2 3 4
(XA)Y1+  1    1.00000 1.00000 1.00000 1.00000
(XA)Y1-  1    1.00000 1.00000 -1.00000 -1.00000
(XA)Y2+  1    1.00000 -1.00000 1.00000 -1.00000
(XA)Y2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
Z1+  1    1.00000 1.00000 1.00000 1.00000
Z1-  1    1.00000 1.00000 -1.00000 -1.00000
Z2+Z2+  2    2.00000 -2.00000 2.00000 -2.00000
Z2-Z2-  2    2.00000 -2.00000 -2.00000 2.00000
