SG=191.233
 name=P6/mmm
 nsym=24
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0 1
 0 -1 0 1 -1 0 0 0 1    0 0 0 1
 -1 1 0 -1 0 0 0 0 1    0 0 0 1
 -1 0 0 0 -1 0 0 0 1    0 0 0 1
  0 1 0 -1 1 0 0 0 1    0 0 0 1
  1 -1 0 1 0 0 0 0 1    0 0 0 1
  0 1 0 1 0 0 0 0 -1    0 0 0 1
1 -1 0 0 -1 0 0 0 -1    0 0 0 1
-1 0 0 -1 1 0 0 0 -1    0 0 0 1
0 -1 0 -1 0 0 0 0 -1    0 0 0 1
 -1 1 0 0 1 0 0 0 -1    0 0 0 1
 1 0 0 1 -1 0 0 0 -1    0 0 0 1
-1 0 0 0 -1 0 0 0 -1    0 0 0 1
 0 1 0 -1 1 0 0 0 -1    0 0 0 1
 1 -1 0 1 0 0 0 0 -1    0 0 0 1
  1 0 0 0 1 0 0 0 -1    0 0 0 1
0 -1 0 1 -1 0 0 0 -1    0 0 0 1
-1 1 0 -1 0 0 0 0 -1    0 0 0 1
 0 -1 0 -1 0 0 0 0 1    0 0 0 1
  -1 1 0 0 1 0 0 0 1    0 0 0 1
  1 0 0 1 -1 0 0 0 1    0 0 0 1
   0 1 0 1 0 0 0 0 1    0 0 0 1
 1 -1 0 0 -1 0 0 0 1    0 0 0 1
 -1 0 0 -1 1 0 0 0 1    0 0 0 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM3+  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
GM3-  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
GM4+  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
GM4-  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
GM5+  2    2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
GM5-  2    2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 1.00000 1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
GM6+  2    2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
GM6-  2    2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 1.00000 1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
A1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
A1-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
A2+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
A2-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
A3+  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
A3-  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
A4+  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
A4-  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
A5+  2    2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
A5-  2    2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 1.00000 1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
A6+  2    2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
A6-  2    2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 1.00000 1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 7 8 9 16 17 18 22 23 24
H1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
H2  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
H3  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
H4  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
H5  2    2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000
H6  2    2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 7 8 9 16 17 18 22 23 24
K1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
K2  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
K3  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
