SG=33.147
 name=Pna'2_1'
 nsym=4
 spinor=False
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0  1
-1 0 0 0 1 0 0 0 1    0.5 0.5 0.5  1
   -1 0 0 0 -1 0 0 0 1    0 0 0.5 -1
  1 0 0 0 -1 0 0 0 1    0.5 0.5 0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2
GM1  1    1.00000 1.00000
GM2  1    1.00000 -1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2
(R)C1C1  2    2.00000 -2.00000
(R)C2C2  2    2.00000 2.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2
(S)E1E2  2    2.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2
(T)Y1Y2  2    2.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2
(U)D1D1  2    2.00000 2.00000 0.00000 0.50000
(U)D2D2  2    2.00000 2.00000 0.00000 -0.50000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2
(X)Z1Z2  2    2.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2
(Y)A1  1    1.00000 1.00000 0.00000 -0.50000
(Y)A2  1    1.00000 1.00000 0.00000 0.50000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2
(Z)B1B2  2    2.00000 0.00000
