SG=47
 name=Pmmm 
 nsym= 8
 spinor=False
symmetries=
1 0 0   0 1 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 -1 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 1 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 -1 0   0 0 -1     0.0 0.0 0.0
-1 0 0   0 -1 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 1 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 -1 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 1 0   0 0 1     0.0 0.0 0.0


 kpoint  GM : 0.0 0.0 0.0  : 1 2 3 4 5 6 7 8
Y3+ 1    1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0
Y3- 1    1.0  -1.0  -1.0  1.0  -1.0  1.0  1.0  -1.0
Y4+ 1    1.0  -1.0  1.0  -1.0  1.0  -1.0  1.0  -1.0
Y4- 1    1.0  -1.0  1.0  -1.0  -1.0  1.0  -1.0  1.0

 kpoint  Z : 0.0 0.0 0.5  : 1 2 3 4 5 6 7 8
Z1+ 1    1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
Z1- 1    1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0
Z2+ 1    1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0
Z2- 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0
Z3+ 1    1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0
Z3- 1    1.0  -1.0  -1.0  1.0  -1.0  1.0  1.0  -1.0
Z4+ 1    1.0  -1.0  1.0  -1.0  1.0  -1.0  1.0  -1.0
Z4- 1    1.0  -1.0  1.0  -1.0  -1.0  1.0  -1.0  1.0
