SG=47.249
 name=Pmmm
 nsym=8
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0 1
 -1 0 0 0 -1 0 0 0 1    0 0 0 1
 -1 0 0 0 1 0 0 0 -1    0 0 0 1
 1 0 0 0 -1 0 0 0 -1    0 0 0 1
-1 0 0 0 -1 0 0 0 -1    0 0 0 1
  1 0 0 0 1 0 0 0 -1    0 0 0 1
  1 0 0 0 -1 0 0 0 1    0 0 0 1
  -1 0 0 0 1 0 0 0 1    0 0 0 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
Y3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
Y3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
Y4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
Y4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
Z1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
Z1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
Z2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
Z2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
Z3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
Z3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
Z4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
Z4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000
