SG=49.270
 name=Pc'cm'
 nsym=8
 spinor=False
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0  1
-1 0 0 0 1 0 0 0 -1    0 0 0.5  1
 -1 0 0 0 -1 0 0 0 -1    0 0 0  1
 1 0 0 0 -1 0 0 0 1    0 0 0.5  1
  -1 0 0 0 -1 0 0 0 1    0 0 0 -1
1 0 0 0 -1 0 0 0 -1    0 0 0.5 -1
   1 0 0 0 1 0 0 0 -1    0 0 0 -1
 -1 0 0 0 1 0 0 0 1    0 0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
GM1+  1    1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 -1.00000 -1.00000
GM2+  1    1.00000 -1.00000 1.00000 -1.00000
GM2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
(R)E1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
(S)C1+  1    1.00000 1.00000 1.00000 1.00000
(S)C1-  1    1.00000 1.00000 -1.00000 -1.00000
(S)C2+  1    1.00000 -1.00000 1.00000 -1.00000
(S)C2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
(T)D1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
(U)A1  2    2.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
(X)Y1+  1    1.00000 1.00000 1.00000 1.00000
(X)Y1-  1    1.00000 1.00000 -1.00000 -1.00000
(X)Y2+  1    1.00000 -1.00000 1.00000 -1.00000
(X)Y2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
(Y)Z1+  1    1.00000 1.00000 1.00000 1.00000
(Y)Z1-  1    1.00000 1.00000 -1.00000 -1.00000
(Y)Z2+  1    1.00000 -1.00000 1.00000 -1.00000
(Y)Z2-  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
(Z)B1  2    2.00000 0.00000 0.00000 0.00000
