SG=123
 name=P4/mmm 
 nsym= 16
 spinor=False
symmetries=
1 0 0   0 1 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 -1 0   0 0 1     0.0 0.0 0.0
0 -1 0   1 0 0   0 0 1     0.0 0.0 0.0
0 1 0   -1 0 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 1 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 -1 0   0 0 -1     0.0 0.0 0.0
0 1 0   1 0 0   0 0 -1     0.0 0.0 0.0
0 -1 0   -1 0 0   0 0 -1     0.0 0.0 0.0
-1 0 0   0 -1 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 1 0   0 0 -1     0.0 0.0 0.0
0 1 0   -1 0 0   0 0 -1     0.0 0.0 0.0
0 -1 0   1 0 0   0 0 -1     0.0 0.0 0.0
1 0 0   0 -1 0   0 0 1     0.0 0.0 0.0
-1 0 0   0 1 0   0 0 1     0.0 0.0 0.0
0 -1 0   -1 0 0   0 0 1     0.0 0.0 0.0
0 1 0   1 0 0   0 0 1     0.0 0.0 0.0


 kpoint  A : 0.5 0.5 0.5  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
M4- 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0  1.0  1.0  1.0  -1.0  -1.0
M5+ 2    2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0
M5- 2    2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0  -2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0

 kpoint  Z : 0.0 0.0 0.5  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
Z1+ 1    1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
Z1- 1    1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
Z2+ 1    1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0
Z2- 1    1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0  1.0
Z3+ 1    1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0
Z3- 1    1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  1.0  1.0
Z4+ 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0
Z4- 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0  1.0  1.0  1.0  -1.0  -1.0
Z5+ 2    2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0
Z5- 2    2.0  -2.0  0.0  0.0  0.0  0.0  0.0  0.0  -2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0

 kpoint  R : 0.0 0.5 0.5  : 1 2 5 6 9 10 13 14
R1+ 1    1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
R1- 1    1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0
R2+ 1    1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0
R2- 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0
R3+ 1    1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0
R3- 1    1.0  -1.0  -1.0  1.0  -1.0  1.0  1.0  -1.0
R4+ 1    1.0  -1.0  1.0  -1.0  1.0  -1.0  1.0  -1.0
R4- 1    1.0  -1.0  1.0  -1.0  -1.0  1.0  -1.0  1.0

 kpoint  X : 0.0 0.5 0.0  : 1 2 5 6 9 10 13 14
X1+ 1    1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0
X1- 1    1.0  1.0  1.0  1.0  -1.0  -1.0  -1.0  -1.0
X2+ 1    1.0  1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0
X2- 1    1.0  1.0  -1.0  -1.0  -1.0  -1.0  1.0  1.0
X3+ 1    1.0  -1.0  -1.0  1.0  1.0  -1.0  -1.0  1.0
X3- 1    1.0  -1.0  -1.0  1.0  -1.0  1.0  1.0  -1.0
X4+ 1    1.0  -1.0  1.0  -1.0  1.0  -1.0  1.0  -1.0
X4- 1    1.0  -1.0  1.0  -1.0  -1.0  1.0  -1.0  1.0
